word,category,description,correct_option,options
establish,easy,"to build, to create (a system, organization, or idea)",1,"['an abstract idea', 'to build, to create (a system, organization, or idea)', 'to believe without proof', 'to change, to make different, to have an effect']"
adjust,easy,to change or move a little and make better or more accurate,2,"['to name, to show or figure out what something is', 'to find or search for more information about something, information collected about something', 'to change or move a little and make better or more accurate', 'the direction or way in which something is changing']"
involve,easy,"to include, to have as a part",0,"['to include, to have as a part', 'good enough for what is needed', 'however, regardless', 'a name or phrase given to a group of things to identify them (often negative)']"
conduct,easy,to organize and manage (an event that takes careful planning and control),2,"['information, facts', 'the direction or way in which something is changing', 'to organize and manage (an event that takes careful planning and control)', 'to place extra importance on one part']"
contact,easy,"the state of touching, having normal communication, communicating to give or get information",2,"['to believe without proof', 'to answer, to react', 'the state of touching, having normal communication, communicating to give or get information', 'result, effect, what happens because of an event']"
respond,easy,"to answer, to react",2,"['of the body (not the mind), concrete (something real that you can touch or feel)', 'a range or amount of time', 'to answer, to react', 'a long speech about one topic that teaches, to give a long speech about a topic trying to teach']"
affect,easy,"to change, to make different, to have an effect",2,"['however, regardless', 'to be clearly different from, to look specifically at the differences between two things.', 'to change, to make different, to have an effect', 'to try to find answers to questions about something, to research']"
expand,easy,"to make larger, to give more detail on a subject",3,"['to organize and manage (an event that takes careful planning and control)', 'the ability to go into, to reach (when able to or allowed to enter)', 'result, effect, what happens because of an event', 'to make larger, to give more detail on a subject']"
specify,easy,to say which one or clearly point to which one,2,"['single or separated, only one of', 'to need for a specific purpose, to set as the minimum', 'to say which one or clearly point to which one', 'to agree, to decide, to solve a problem or argument']"
reject,easy,"to say no to something offered , to refuse or decline",2,"['an area of land', 'to depend on, to need in order to continue well', 'to say no to something offered , to refuse or decline', 'enough in amount for what is needed']"
imply,easy,"to communicate without saying specifically, to lead to (a conclusion)",3,"['to look at, to think about, to give attention to, the center of attention, the most important part', 'to pass from one person or thing to another', 'to eat, to use up (a resource)', 'to communicate without saying specifically, to lead to (a conclusion)']"
source,easy,where something comes from,0,"['where something comes from', 'single or separated, only one of', 'an important characteristic, a property  to include as an important piece', 'to form an idea of the amount, number, or value of something']"
strategy,easy,a plan of action to reach a desired goal,3,"['also, in addition', 'a topic or situation to talk about, a problem', 'to be clearly different from, to look specifically at the differences between two things.', 'a plan of action to reach a desired goal']"
previous,easy,"happening before the one happening now (of a thing, or date)",0,"['happening before the one happening now (of a thing, or date)', 'good enough for what is needed', 'to depend on, to need in order to continue well', 'to respond, to act in answer to']"
access,easy,"the ability to go into, to reach (when able to or allowed to enter)",1,"['to place extra importance on one part, extra importance placed on one part, pressure/strain/tension', 'the ability to go into, to reach (when able to or allowed to enter)', 'to look at, to think about, to give attention to, the center of attention, the most important part', 'a plan of action to reach a desired goal']"
section,easy,one of a number of pieces which come together to create a whole,3,"['to believe without proof', 'to try to find answers to questions about something, to research', 'easily understood or seen', 'one of a number of pieces which come together to create a whole']"
period,easy,a range or amount of time,1,"['to say something will happen in the future', 'a range or amount of time', 'to build', 'to believe without proof']"
occur,easy,to happen,0,"['to happen', 'to look closely at and figure out the value or type of something', 'one of a number of pieces which come together to create a whole', 'to limit, to make some actions impossible']"
label,easy,a name or phrase given to a group of things to identify them (often negative),3,"['result, effect, what happens because of an event', 'the ability to go into, to reach (when able to or allowed to enter)', 'to say no to something offered , to refuse or decline', 'a name or phrase given to a group of things to identify them (often negative)']"
occupy,easy,"to be in or on a space, to fill a space",3,"['to take away or take out', 'to pass from one person or thing to another', 'a name or phrase given to a group of things to identify them (often negative)', 'to be in or on a space, to fill a space']"
participate,easy,to join or take part (in a activity),2,"['able to be reached, used, or bought', 'to be in or on a space, to fill a space', 'to join or take part (in a activity)', 'very important, or large in size']"
region,easy,an area of land,3,"['to get (specially when you will continue to get more)', 'to try to understand something better by closely looking at its details', 'an abstract idea', 'an area of land']"
resolve,easy,"to agree, to decide, to solve a problem or argument",0,"['to agree, to decide, to solve a problem or argument', 'to put something else in the same place, something that goes in the place of the normal thing', 'to choose, chosen as the best from a group', 'to find or search for more information about something, information collected about something']"
remove,easy,to take away or take out,2,"['complicated, having many different parts and difficult to understand', 'to depend on, to need in order to continue well', 'to take away or take out', 'an abstract idea']"
rely,easy,"to depend on, to need in order to continue well",0,"['to depend on, to need in order to continue well', 'an idea which explains something but is unproven', 'correct (about information, not opinions), on target', 'looking at or including all pieces or factors, in general, for the most part']"
physical,easy,"of the body (not the mind), concrete (something real that you can touch or feel)",0,"['of the body (not the mind), concrete (something real that you can touch or feel)', 'even with (when an event is surprising because of some difficulty)', 'complicated, having many different parts and difficult to understand', 'to organize and manage (an event that takes careful planning and control)']"
resource,easy,"some saved material that can be used for a purpose (especially money, oil, or books)",0,"['some saved material that can be used for a purpose (especially money, oil, or books)', 'even with (when an event is surprising because of some difficulty)', 'a plan of action to reach a desired goal', 'to try to find answers to questions about something, to research']"
construct,easy,to build,2,"['basic, central, extremely important', 'to happen', 'to build', 'also, in addition']"
comment,easy,"an observation or response, to say a short response or opinion about a given topic",1,"['to pass from one person or thing to another', 'an observation or response, to say a short response or opinion about a given topic', 'to join or take part (in a activity)', 'to build']"
relevant,easy,closely connected to the topic and therefore important,1,"['the information or situation around an idea , event , or something that is said', 'closely connected to the topic and therefore important', 'some saved material that can be used for a purpose (especially money, oil, or books)', 'to say no to something offered , to refuse or decline']"
transfer,easy,to pass from one person or thing to another,3,"['to limit, to make some actions impossible', 'to explain with an example or picture', 'the state of touching, having normal communication, communicating to give or get information', 'to pass from one person or thing to another']"
culture,easy,"the way a group of people living in one area normally acts, talk to and act with each other",0,"['the way a group of people living in one area normally acts, talk to and act with each other', 'to put something else in the same place, something that goes in the place of the normal thing', 'to respond, to act in answer to', 'to place extra importance on one part']"
major,easy,"very important, or large in size",0,"['very important, or large in size', 'to depend on, to need in order to continue well', 'to happen', 'easily understood or seen']"
minor,easy,"not very important, small in size",0,"['not very important, small in size', 'to form an idea of the amount, number, or value of something', 'short (about time, not length)', 'to believe without proof']"
individual,easy,"single or separated, only one of",1,"['to get (specially when you will continue to get more)', 'single or separated, only one of', 'basic, central, extremely important', 'a name or phrase given to a group of things to identify them (often negative)']"
maintain,easy,"to continue, to keep alive, to keep in good state or condition",3,"['to agree, to decide, to solve a problem or argument', 'result, effect, what happens because of an event', 'complicated, having many different parts and difficult to understand', 'to continue, to keep alive, to keep in good state or condition']"
maximize,easy,"to make as big as possible, to use or do as completely as possible",3,"['good enough for what is needed', 'clearly seen or understood, obvious', 'to put your name or other information in a list for something, to identify on a tool for measuring', 'to make as big as possible, to use or do as completely as possible']"
research,easy,"to find or search for more information about something, information collected about something",3,"['to build, to create (a system, organization, or idea)', 'to look at, to think about, to give attention to, the center of attention, the most important part', 'to include, to have as a part', 'to find or search for more information about something, information collected about something']"
evaluate,easy,"to form an idea of the amount, number, or value of something",2,"['an idea or belief about how something works', 'to happen', 'to form an idea of the amount, number, or value of something', 'information, facts']"
primary,easy,first in importance,0,"['first in importance', 'to put something else in the same place, something that goes in the place of the normal thing', 'of the mind', 'where something comes from']"
circumstance,easy,"the situation, facts or environment around an event",3,"['to continue, to keep alive, to keep in good state or condition', 'even with (when an event is surprising because of some difficulty)', 'good enough for what is needed', 'the situation, facts or environment around an event']"
achieve,easy,to finally do something you have been trying hard to do,0,"['to finally do something you have been trying hard to do', 'to continue, to keep alive, to keep in good state or condition', 'a long speech about one topic that teaches, to give a long speech about a topic trying to teach', 'to depend on, to need in order to continue well']"
challenge,easy,"something difficult, to suggest a fight or argument, to disagree or try to fight somebody",0,"['something difficult, to suggest a fight or argument, to disagree or try to fight somebody', 'to eat, to use up (a resource)', 'to respond, to act in answer to', 'to build']"
consequence,easy,"result, effect, what happens because of an event",3,"['the way a group of people living in one area normally acts, talk to and act with each other', 'to limit, to make some actions impossible', 'to put your name or other information in a list for something, to identify on a tool for measuring', 'result, effect, what happens because of an event']"
mental,easy,of the mind,3,"['to finally do something you have been trying hard to do', 'of the body (not the mind), concrete (something real that you can touch or feel)', 'to communicate without saying specifically, to lead to (a conclusion)', 'of the mind']"
obvious,easy,easily understood or seen,1,"['very important, or large in size', 'easily understood or seen', 'to depend on, to need in order to continue well', 'a name or phrase given to a group of things to identify them (often negative)']"
available,easy,"able to be reached, used, or bought",2,"['first in importance', 'a name or phrase given to a group of things to identify them (often negative)', 'able to be reached, used, or bought', 'to try to understand something better by closely looking at its details']"
acquire,easy,to get (specially when you will continue to get more),2,"['to organize and manage (an event that takes careful planning and control)', 'to answer, to react', 'to get (specially when you will continue to get more)', 'to change or move a little and make better or more accurate']"
complex,easy,"complicated, having many different parts and difficult to understand",3,"['to help or aid', 'enough in amount for what is needed', 'information, facts', 'complicated, having many different parts and difficult to understand']"
react,easy,"to respond, to act in answer to",1,"['an example, a case', 'to respond, to act in answer to', 'of the mind', 'to say which one or clearly point to which one']"
evident,easy,"clearly seen or understood, obvious",2,"['to agree, to decide, to solve a problem or argument', 'single or separated, only one of', 'clearly seen or understood, obvious', 'to try to understand something better by closely looking at its details']"
assist,easy,to help or aid,2,"['to agree, to decide, to solve a problem or argument', 'information, facts', 'to help or aid', 'something difficult, to suggest a fight or argument, to disagree or try to fight somebody']"
focus,easy,"to look at, to think about, to give attention to, the center of attention, the most important part",3,"['to put something else in the same place, something that goes in the place of the normal thing', 'a plan of action to reach a desired goal', 'looking at or including all pieces or factors, in general, for the most part', 'to look at, to think about, to give attention to, the center of attention, the most important part']"
obtain,medium,to get or secure something,2,"['the study of knowledge, a basic idea of a person or organization that affects their actions', 'a system of connected pieces (especially for transportation or communication)', 'to get or secure something', 'large enough or important enough to get special notice']"
community,medium,a group of people living or working together,3,"['continuing even though somebody tries to stop it', 'to make happy or satisfied', 'polite and respectful', 'a group of people living or working together']"
site,medium,the location of something,0,"['the location of something', 'to create a basic picture or plan quickly', 'separate and very different', 'to cause to separate and go in different direction']"
debate,medium,"to argue, usually in a formal, polite way. a formal, polite argument",0,"['to argue, usually in a formal, polite way. a formal, polite argument', 'the distance between two things, to be between a set minimum and maximum', 'win a victory over', 'very new and creating a big change']"
role,medium,"a job or function, a position",0,"['a job or function, a position', 'to officially order a new rule, tax or punishment', 'to begin or continue with some action', 'to argue, usually in a formal, polite way. a formal, polite argument']"
conflict,medium,"to disagree with each other, an argument, long battle, or difference of opinions",1,"['clearly different from another thing', 'to disagree with each other, an argument, long battle, or difference of opinions', 'at the beginning', 'not doing what is ordered']"
aware,medium,to have knowledge of,1,"['a person who actively supports an idea', 'to have knowledge of', 'to hold tightly onto', 'to try very hard to accomplish']"
notion,medium,"a belief, an idea",2,"['the rank or social class of someone or something, the current situation that something is in', 'win a victory over', 'a belief, an idea', 'combining well to improve both parts']"
estimate,medium,"to roughly determine the value or number of something, to guess a number using some informration",2,"['to reach the highest or most developed point', 'to cause to happen', 'to roughly determine the value or number of something, to guess a number using some informration', 'to change the from what it should be into something different']"
element,medium,a part of something (usually part of an idea),2,"['very little, not enough', 'hard to break or damage', 'a part of something (usually part of an idea)', 'to move something a short distance, a small change in position or direction']"
tradition,medium,a set of beliefs or a culture that is passed from family to family over a long period of time,2,"['to give an event or person credit for something, an important part of something', 'work, effort', 'a set of beliefs or a culture that is passed from family to family over a long period of time', 'sudden and unexpected or short']"
expose,medium,to show or reveal something that was hidden,1,"['to try very hard to accomplish', 'to show or reveal something that was hidden', 'helping to make happen', 'to cause to happen']"
interpret,medium,to figure out or explain the meaning of something,2,"['continuing forever without pause', ""to attach something so that it won't come off, to get something important, to be safe"", 'to figure out or explain the meaning of something', 'a group of people living or working together']"
proceed,medium,to begin or continue with some action,3,"['very large or wide', 'to cause to happen (usually a bad reaction)', 'a set of rules about what to do in formal situations', 'to begin or continue with some action']"
contribute,medium,"to give something, to help reach a goal. to add to the cause of something bigger",3,"['to have knowledge of', 'as a representative of somebody', 'one of several things that covers somethings else, to cover something with several coverings', 'to give something, to help reach a goal. to add to the cause of something bigger']"
considerable,medium,large enough or important enough to get special notice,3,"['to roughly determine the value or number of something, to guess a number using some informration', 'to continue to exist although something/someone tries to stop it', 'clearly unusual (used for people or behavior)', 'large enough or important enough to get special notice']"
shift,medium,"to move something a short distance, a small change in position or direction",2,"['not made correctly and not working', 'to politely say no to an invitation or offer, to become less, a slow continuous loss of value', 'to move something a short distance, a small change in position or direction', 'happening very soon']"
vary,medium,"to be a different size, amount, or character when compared to something else in a similar group",2,"['to continue to exist, to live through bad experiences', 'very new and creating a big change', 'to be a different size, amount, or character when compared to something else in a similar group', 'not made correctly and not working']"
initial,medium,at the beginning,1,"['happening very soon', 'at the beginning', 'to change the from what it should be into something different', 'to bend into a different shape']"
prior,medium,happening or being before,3,"['the study of knowledge, a basic idea of a person or organization that affects their actions', 'to give permission', 'to reach the highest or most developed point', 'happening or being before']"
benefit,medium,"something good coming from an action, agreement, idea, or plan",2,"['at the beginning', 'lack of interest', 'something good coming from an action, agreement, idea, or plan', 'to come together into a large number or amount over time']"
potential,medium,"possible ability that might be used in the future, having the ability to do something in the future",3,"['to take out by force', 'to try very hard to accomplish', 'to have knowledge of', 'possible ability that might be used in the future, having the ability to do something in the future']"
layer,medium,"one of several things that covers somethings else, to cover something with several coverings",2,"['to spend money, energy or time on something hoping for good results later', 'done before someone else can do it', 'one of several things that covers somethings else, to cover something with several coverings', 'happening or being before']"
philosophy,medium,"the study of knowledge, a basic idea of a person or organization that affects their actions",0,"['the study of knowledge, a basic idea of a person or organization that affects their actions', 'to cause to happen (usually a bad reaction)', 'complicated and difficult to understand', 'to come together into a large number or amount over time']"
decline,medium,"to politely say no to an invitation or offer, to become less, a slow continuous loss of value",3,"['to help to growth of something', 'a job or function, a position', 'win a victory over', 'to politely say no to an invitation or offer, to become less, a slow continuous loss of value']"
administration,medium,"the running of something or an organization, the people in charge of running an organization",0,"['the running of something or an organization, the people in charge of running an organization', 'to begin or continue with some action', 'very little, not enough', 'existing across a large area or number of people']"
labor,medium,"work, effort",3,"['not doing what is ordered', 'to cause to happen', 'to be quietly angry about something somebody else did or said', 'work, effort']"
link,medium,"to create a connection between two or more things, a connection between two things",2,"['beautiful, graceful', 'to spend money, energy or time on something hoping for good results later', 'to create a connection between two or more things, a connection between two things', 'very well known and respected as high quality']"
invest,medium,"to spend money, energy or time on something hoping for good results later",3,"['not where it is expected, missing', 'to get or secure something', 'very new and creating a big change', 'to spend money, energy or time on something hoping for good results later']"
equivalent,medium,equal,3,"['not made correctly and not working', 'not likely to change, fall, or move. secure (in employment, finances, housing)', 'to force to remove to another place', 'equal']"
network,medium,a system of connected pieces (especially for transportation or communication),3,"['logical and understandable', 'to live in a place', 'causing a lot of disagreement', 'a system of connected pieces (especially for transportation or communication)']"
precise,medium,"exact, carefully defined",3,"['to hold tightly onto', 'to begin or continue with some action', 'having more than one possible meaning', 'exact, carefully defined']"
correspond,medium,"to be a close match, to send letters back and forth  ",2,"['found or happening inside (a body, organization, or thing)', 'a sudden loss of power or success', 'to be a close match, to send letters back and forth  ', 'thin and attractive']"
distinct,medium,clearly different from another thing,1,"['without much difficulty or delay', 'clearly different from another thing', 'continuing even though somebody tries to stop it', 'a group of people living or working together']"
internal,medium,"found or happening inside (a body, organization, or thing)",1,"['a set way of thinking or a set feeling about something or someone', 'found or happening inside (a body, organization, or thing)', 'clearly unusual (used for people or behavior)', 'the rank or social class of someone or something, the current situation that something is in']"
reside,medium,to live in a place,0,"['to live in a place', 'to have control over a process so that it functions properly', 'to force to remove to another place', 'to bend into a different shape']"
annual,medium,"yearly, happening every year",1,"['large enough or important enough to get special notice', 'yearly, happening every year', 'to continue to exist, to live through bad experiences', 'to live in a place']"
status,medium,"the rank or social class of someone or something, the current situation that something is in",1,"['the distance between two things, to be between a set minimum and maximum', 'the rank or social class of someone or something, the current situation that something is in', 'to create a basic picture or plan quickly', 'to move around a large area with little direction or plan']"
attitude,medium,a set way of thinking or a set feeling about something or someone,3,"['to roughly determine the value or number of something, to guess a number using some informration', 'to leave one are to live in another', 'the study of knowledge, a basic idea of a person or organization that affects their actions', 'a set way of thinking or a set feeling about something or someone']"
distribute,medium,to give out something,1,"['a small amount or individual used for studying the whole thing or group', 'to give out something', 'to be a close match, to send letters back and forth  ', 'to help to growth of something']"
authority,medium,"control or responsibility (over people, area, or laws)",1,"['to become too much to handle', 'control or responsibility (over people, area, or laws)', 'an enemy', 'clearly different from another thing']"
stable,medium,"not likely to change, fall, or move. secure (in employment, finances, housing)",1,"['very many, more than enough', 'not likely to change, fall, or move. secure (in employment, finances, housing)', 'not easy or impossible to bend', 'complicated and difficult to understand']"
enable,medium,to make something possible,2,"['having more than one possible meaning', 'to make unclear, known by only a few', 'to make something possible', 'hard to break or damage']"
secure,medium,"to attach something so that it won't come off, to get something important, to be safe",1,"['the study of knowledge, a basic idea of a person or organization that affects their actions', ""to attach something so that it won't come off, to get something important, to be safe"", 'very important, necessary', 'a group of people living or working together']"
concentrate,medium,"to focus attention on something, to come together into a smaller space, to gather",3,"['very many, more than enough', 'to help to growth of something', 'polite and respectful', 'to focus attention on something, to come together into a smaller space, to gather']"
sustain,medium,"to help something continue, to keep going",0,"['to help something continue, to keep going', 'the distance between two things, to be between a set minimum and maximum', 'a part of something (usually part of an idea)', 'to match the rule or standard']"
regulate,medium,to have control over a process so that it functions properly,2,"['complicated and difficult to understand', 'promise to do or start to do a large and difficult project', 'to have control over a process so that it functions properly', 'the rank or social class of someone or something, the current situation that something is in']"
attribute,medium,"to give an event or person credit for something, an important part of something",0,"['to give an event or person credit for something, an important part of something', 'the study of knowledge, a basic idea of a person or organization that affects their actions', 'to disagree with each other, an argument, long battle, or difference of opinions', 'a sudden loss of power or success']"
range,medium,"the distance between two things, to be between a set minimum and maximum",3,"['causing a lot of disagreement', 'to make two things be logical together', 'to begin or continue with some action', 'the distance between two things, to be between a set minimum and maximum']"
alternative,medium,"other possibility or option, different, other than the main option",1,"['causing a lot of disagreement', 'other possibility or option, different, other than the main option', 'a part of something (usually part of an idea)', 'combining well to improve both parts']"
era,medium,the time period of an important historical situation,1,"['something that limits or restricts', 'the time period of an important historical situation', 'a feeling of wanting to choose one option', 'as a decoration']"
rigid,medium,not easy or impossible to bend,3,"['happening or being before', 'a group of people living or working together', 'to reach the highest or most developed point', 'not easy or impossible to bend']"
advocate,medium,a person who actively supports an idea,1,"['not where it is expected, missing', 'a person who actively supports an idea', 'to make unclear, known by only a few', 'to be a close match, to send letters back and forth  ']"
displace,medium,to force to remove to another place,3,"['to give out something', 'not existing anymore', 'the force from moving', 'to force to remove to another place']"
defective,medium,not made correctly and not working,1,"['found or happening inside (a body, organization, or thing)', 'not made correctly and not working', 'to take out by force', 'yearly, happening every year']"
persist,medium,to continue to exist although something/someone tries to stop it,2,"['win a victory over', 'very well known and respected as high quality', 'to continue to exist although something/someone tries to stop it', 'continuing even though somebody tries to stop it']"
tint,medium,a small amount of colour,1,"['to begin or continue with some action', 'a small amount of colour', 'as a decoration', 'only if']"
