question	category	word	correct_option	options
Fill the gaps:  To ______ is to limit. If you want to eat more healthily, you might ______, or limit, yourself to eating only foods containing fruits and vegetables –- like carrot cake and apple pie.	easy	restrict	3	['despite', 'specify', 'consume', 'restrict']
Fill the gaps:  You might ______ a Ming dynasty vase, a suspect in a bank robbery, or an ivory-billed woodpecker. Whatever it is, when you recognize the identity of someone or something, you ______ it.	easy	identify	3	['restrict', 'fundamental', 'assume', 'identify']
Fill the gaps:  When you ______ something, you show what it is or how it works. To ______ how your new juicer works, you should have lots of kale, carrots, and beets on hand — and some brave friends to try your concoction.	easy	demonstrate	0	['demonstrate', 'adequate', 'significant', 'specify']
Fill the gaps:  ______ isn't only used to mean "accept as truth without checking"; it also means "take on the form of." It might be safer if you don't ______ that the vampire standing in front of you isn't merely a person assuming that form.	easy	assume	3	['select', 'rely', 'expand', 'assume']
Fill the gaps:  ______ means to study or examine something carefully in a methodical way. If you ______ your child's report card, you may determine his strength and weaknesses (and how many times he cut class).	easy	analyze	3	['maximize', 'constant', 'respond', 'analyze']
Fill the gaps:  Something that is ______ is exact and true. It's important to be ______ in the kitchen with your measurements and in the courtroom with your testimony.	easy	accurate	0	['accurate', 'indicate', 'method', 'approach']
Fill the gaps:  Think of something or someone that does not change as ______.  A classmate's ______ drumming on the table with his fingers could be a ______ source of annoyance.	easy	constant	2	['consume', 'participate', 'constant', 'section']
Fill the gaps:  One copy of "Celebrities are Cool" magazine is an ______. It is ______d, or put out, by the publisher. You and your mother may argue over the ______, or topic, of whether or not you should read it.	easy	issue	0	['issue', 'sufficient', 'respond', 'circumstance']
Fill the gaps:  To ______ means to point something out or to present evidence. If you feel sick during a car trip, you can ______ this to the driver by groaning loudly or announcing "I'm going to be sick!"	easy	indicate	0	['indicate', 'sufficient', 'fundamental', 'brief']
Fill the gaps:  To ______ is to change or transform, but only slightly. If you miss your free-throws half the time, your coach will try to  ______ your technique in order improve your shooting average.	easy	modify	3	['project', 'evident', 'nevertheless', 'modify']
Fill the gaps:  A funny-looking adverb that appears to be made up of three words squished together, ______ means “even so" or "all the same.”	easy	nevertheless	2	['significant', 'circumstance', 'nevertheless', 'adjust']
Fill the gaps:  The ______ meaning of the word ______ is that it covers all the parts of something. For example, the individual parts don't matter as much as the ______ value.	easy	overall	3	['emphasize', 'culture', 'focus', 'overall']
Fill the gaps:  To ______ is to say what you think is going to happen in the future.  If you ______ that you'll win the poker championship, you're either really confident in your poker skills or you're cheating.	easy	predict	1	['resource', 'predict', 'maintain', 'previous']
Fill the gaps:  Use the adjective ______ to describe something that is important. Your "______ other" means the person who's most important in your life. A ______ result in a scientific study is a result large enough to matter.	easy	significant	2	['resource', 'predict', 'significant', 'available']
Fill the gaps:  The famous design dictum "form follows ______" tells us that an object's design should reflect what it does.	easy	function	3	['contrast', 'identify', 'adequate', 'function']
Fill the gaps:  Just when you think your friend has finished her long list of complaints, she begins a new sentence with, “______…” a word that signals she has even more to complain about.	easy	furthermore	1	['feature', 'furthermore', 'hypothesis', 'conduct']
Fill the gaps:  A ______ is a piece of work that is planned or intended. Plan a little extra time for your gingerbread house ______ — gluing the walls and roof can take a while.	easy	project	2	['method', 'substitute', 'project', 'theory']
Fill the gaps:  When you want to say that something is enough or good enough for a particular need, use the adjective ______. You might have an ______ amount of flour for a batch of pancakes, but not a lot extra.	easy	adequate	0	['adequate', 'transfer', 'assume', 'identify']
Fill the gaps:  A ______ is a part of something that makes it special or able to work better, such as a bonus ______ on a DVD or a smartphone ______ that provides faster Internet connections.	easy	feature	1	['contact', 'feature', 'participate', 'individual']
Fill the gaps:  To ______ something means to choose it from among others. If you ______ the most expensive phone, it doesn’t necessarily mean you will be happy with what you get.	easy	select	2	['feature', 'source', 'select', 'challenge']
Fill the gaps:  To ______ something means to begin it or bring it about. If you want everyone in your family to bring you chocolate every evening, you can ______ a “Chocolates for Me” policy requiring it.	easy	establish	1	['focus', 'establish', 'evident', 'occupy']
Fill the gaps:  When you ______ to something, you change so that you can fit in, or conform. Arriving at a new school almost always requires that you ______ a little. Once you ______, you'll find you're as happy as you were in your old school.	easy	adjust	2	['concept', 'approach', 'adjust', 'resource']
Fill the gaps:  To ______ means to connect. When you get ______d in the Spanish Club, you attend meetings and events. If doing math well is ______d in understanding advanced chemistry, that means it's a necessary part of it.	easy	involve	2	['significant', 'consequence', 'involve', 'investigate']
Fill the gaps:  ______ is the act of touching or communicating with someone or something else. The question increasingly isn't whether there is other life in the universe, but how on earth we will ever make ______ with it.	easy	contact	3	['sufficient', 'whereas', 'occupy', 'contact']
Fill the gaps:  Invited to a great party? You might ______ by shouting "Hooray!" and then letting your friend know you'll be there. To ______ is to react or reply.	easy	respond	3	['expand', 'data', 'challenge', 'respond']
Fill the gaps:  ______ is most often used as a verb meaning “to have an impact on,” as in “The tornado barreling towards us will ______ our picnic plans.”	easy	affect	2	['brief', 'react', 'affect', 'assess']
Fill the gaps:  The verb ______ means to make something bigger or wider. It might refer to something concrete, as when you blow into a balloon and make it ______, or something more abstract, as when you study to ______ your mind.	easy	expand	0	['expand', 'mental', 'consume', 'focus']
Fill the gaps:  To explicitly name something or state a particular detail, you ______ that thing. So, when you have a craving for dessert and you send someone to the store to buy ice cream, you may want to ______ a flavor.	easy	specify	0	['specify', 'indicate', 'strategy', 'assess']
Fill the gaps:  When you ______ something, you rule it out or dismiss it. If you're trying to pick a fancy restaurant to go to for your birthday, you'll probably ______ the diner you went to just yesterday.	easy	reject	1	['illustrate', 'reject', 'adjust', 'participate']
Fill the gaps:  ______ means to express, suggest, or show something without stating it directly: A friend’s gruff manner would ______ that she’s in a foul mood.	easy	imply	0	['imply', 'fundamental', 'evident', 'concept']
Fill the gaps:  The noun ______ describes an origin, like the ______ who gave the journalist the information that broke a new story, or the place something originates, like the ______ of a river, or the Web site that is your ______ for celebrity gossip.	easy	source	3	['remove', 'register', 'comment', 'source']
Fill the gaps:  In the game of capture-the-flag, running toward your flag screaming is not a good ______. A ______ is any plan you make to achieve a goal.	easy	strategy	1	['furthermore', 'strategy', 'conduct', 'trend']
Fill the gaps:  ______ means the one that just came before. For instance, the ______ sentence explained the meaning of the word ______.	easy	previous	2	['despite', 'accurate', 'previous', 'restrict']
Fill the gaps:  Most libraries provide computers you can use to ______ the Internet. If chemicals are being stolen from a lab, you might ask who has ______ to the lab. ______ is approaching or making use of something, or the ability to do so	easy	access	1	['nevertheless', 'access', 'research', 'respond']
Fill the gaps:  A ______ is a part or piece of something that fits together with the other pieces to make a whole. Like the arts ______ of a newspaper, or the rhythm ______ of the band that gets reviewed in it.	easy	section	1	['analyze', 'section', 'resource', 'furthermore']
Fill the gaps:  A ______ is all about defining when something begins and ends. Class ______s usually last about forty-five minutes. Following the last food fight, there was a ______ of relative peace in the school.	easy	period	1	['imply', 'period', 'react', 'assume']
Fill the gaps:  Use the verb ______ when an event or a thought happens, like when it ______s to you that you've left home without your umbrella. Maybe you didn't hear the forecast that showers would ______ this afternoon.	easy	occur	0	['occur', 'culture', 'previous', 'participate']
Fill the gaps:  The saying “______s are for jars not people” means it’s OK to put a description on a jar so you know what’s inside, but it’s not okay to judge people by attaching a ______, or description to them, such as "nerd," "jock," or "burnout."	easy	label	2	['modify', 'restrict', 'label', 'trend']
Fill the gaps:  When you spend a lot of your free time reading tea leaves, you ______ yourself with that pastime, meaning it takes up your time and keeps you busy.	easy	occupy	3	['demonstrate', 'data', 'adequate', 'occupy']
Fill the gaps:  If you take part in an activity or organization, you ______ in it. For example, you ______ in a conversation by listening to and talking with others, or you ______ in a sport by joining a team and taking part in practices and games.	easy	participate	2	['major', 'assist', 'participate', 'resolve']
Fill the gaps:  A ______ is an area. A ______ can be geographic — like a part of a country. A ______ can be intellectual — like a ______ of the mind. There are also bodily ______s — like abdominal, thoracic, and posterior.	easy	region	1	['reject', 'region', 'data', 'contrast']
Fill the gaps:  To ______ is to settle or make a decision about something — often formal. A college's board of directors  might ______ to recruit more minority students. As a noun, ______ refers to a strong determination to do something.	easy	resolve	2	['access', 'whereas', 'resolve', 'issue']
Fill the gaps:  You can ______ your name from a list, ______ a stain from a t-shirt, or ______ old furniture from your house. Whatever it is, when you ______ something, you take it somewhere else or get rid of it completely.	easy	remove	2	['illustrate', 'maximize', 'remove', 'transfer']
Fill the gaps:  To ______ is to have confidence in something. You might ______ on staying in bed to make you feel better and ______ on your friends to tell you everything you missed when you were sick.	easy	rely	0	['rely', 'method', 'conduct', 'establish']
Fill the gaps:  When something is ______ it's really there. You can see it, touch it, taste it, hear it, or smell it. The ______ world is all of the stuff around you.	easy	physical	2	['analyze', 'function', 'physical', 'indicate']
Fill the gaps:  A ______ is any personal talent or outside supply that can be tapped for help or support.	easy	resource	2	['data', 'method', 'resource', 'focus']
Fill the gaps:  To ______ things is to build them. You might ______ a sand castle the next time you're at the beach, or you might ______ a theory about why your brother always manages to get away with breaking the rules.	easy	construct	2	['rely', 'focus', 'construct', 'project']
Fill the gaps:  To ______ is to state your opinion on something. Of course, it's good to know when to hold your tongue. ______ on the latest movie? No problem. ______ on the annoying airport security measures while having your baggage checked? Better not.	easy	comment	1	['accurate', 'comment', 'minor', 'strategy']
Fill the gaps:  Something is ______ if it's appropriate or connected to the matter at hand. ______ things are helpful and on point.	easy	relevant	1	['respond', 'relevant', 'require', 'label']
Fill the gaps:  If you are moving something from one place to another, like paying money from your bank account for your rent, you are doing a ______. Or, if you have to move from one job site to another — that is a ______.	easy	transfer	1	['relevant', 'transfer', 'brief', 'theory']
Fill the gaps:  A ______ is a specific group of people during a particular time — like the hippie ______ of the 1960's. ______ can also imply exposure to the arts. Visit a museum if you are in need of a dose of ______.	easy	culture	1	['maximize', 'culture', 'period', 'trend']
Fill the gaps:  Something ______ is big, big, big! It's ______, baby! It's large! Important! Intense! Powerful! Michael Jackson's album "Thriller" was ______, eventually becoming the biggest-selling album of all time.	easy	major	0	['major', 'whereas', 'research', 'occupy']
Fill the gaps:  Something that's ______ is considered of low importance — a ______ injury is not very serious, and a college student's ______ subject is a secondary field of study.	easy	minor	2	['physical', 'region', 'minor', 'brief']
Fill the gaps:  The word ______ is all about being a single entity that cannot be divided. It can mean person or even personal. A team is made up of ______s, and each ______ has ______ strengths and weaknesses.	easy	individual	1	['section', 'individual', 'maintain', 'nevertheless']
Fill the gaps:  ______ means to keep the same––keep steady, keep up, or keep going. Sure, you can ride your bike super fast on a flat surface, but it can be hard to ______ that speed, or keep the same speed, going up a hill.	easy	maintain	1	['hence', 'maintain', 'affect', 'reject']
Fill the gaps:  When you ______ something, you make it as big as you possibly can, the way you would ______ your chances of winning the lottery if you spent all of your money on lottery tickets.	easy	maximize	3	['region', 'project', 'specify', 'maximize']
Fill the gaps:  In their spare time, teenagers LOVE doing extra ______, by investigating the facts of a certain subject and studying and recording what they learn. And if you believe that, you need to do more ______ on the habits of teenagers.	easy	research	1	['indicate', 'research', 'issue', 'sufficient']
Fill the gaps:  When you ______ something, you're making a judgment, one that most likely results from some degree of analysis.	easy	evaluate	2	['consequence', 'feature', 'evaluate', 'major']
Fill the gaps:  ______ means "first." When you vote in a ______, that is the first election in a series. When a matter is of ______ concern, it means it's of first importance. ______ school is the first you go to (after nursery school, at least).	easy	primary	1	['assess', 'primary', 'hence', 'resolve']
Fill the gaps:  A ______ is the condition in which something happens. Say you were at a business luncheon and you were accidentally fed psychedelic mushrooms in your ravioli, your boss might excuse the weird things you said, given the ______.	easy	circumstance	1	['accurate', 'circumstance', 'rely', 'occur']
Fill the gaps:  If you ______ something, you've reached a goal. ______ments aren't accidents. If you stumble upon a treasure chest, you haven't ______d something; however, achieving a promotion to become CEO is another story.	easy	achieve	0	['achieve', 'label', 'predict', 'minor']
Fill the gaps:  A ______ is something that puts you to the test — like running your first marathon or reading War and Peace.	easy	challenge	3	['resource', 'assess', 'lecture', 'challenge']
Fill the gaps:  Things in a sequence come one after another, as in a number sequence of 1, 2, 3, 4. A ______ comes after, or as a result of something you do, for example, "He was given a traffic ticket as a ______ of running the red light."	easy	consequence	3	['assess', 'physical', 'significant', 'consequence']
Fill the gaps:  The adjective ______ describes anything having to do with the mind, just as "physical" has to do with the body. ______ has to do with the intellect, the mind, or the brain.	easy	mental	2	['contact', 'research', 'mental', 'section']
Fill the gaps:  Something ______ is plain to see and easily understandable. It was ______ that you didn't enjoy your meal because I found it rolled in a napkin and shoved under the rug.	easy	obvious	0	['obvious', 'complex', 'predict', 'accurate']
Fill the gaps:  "Is this seat  ______?" "Are you  ______, or are you married?" As you can tell from these two examples, ______ means "not busy or not taken."	easy	available	3	['establish', 'circumstance', 'modify', 'available']
Fill the gaps:  To ______ means to get or come to own something. You ______ an education by your own effort. You ______ a painting by paying for it, or when someone gives it you. You ______ a sense of calm in crisis through experience.	easy	acquire	3	['illustrate', 'transfer', 'adequate', 'acquire']
Fill the gaps:  People who are really good at math can handle ______ math problems. The rest of us are all set with simple stuff like the times tables. Use ______ to refer to something that is not simple.	easy	complex	1	['data', 'complex', 'primary', 'rely']
Fill the gaps:  When you ______ to something, you respond to it. If someone pokes you in class, you might ______ by sticking out your tongue at them. The teacher might then ______ by giving you both detention.	easy	react	3	['concept', 'affect', 'challenge', 'react']
Fill the gaps:  If something is ______, it's visible. If you blush furiously and start shaking every time your crush comes near, your infatuation will be ______ to everyone.	easy	evident	3	['source', 'challenge', 'assist', 'evident']
Fill the gaps:  You run up the field, pass the ball to the forward and she scores!  It’s your third ______ of the game. On and off the soccer field, to ______ is to help or contribute.	easy	assist	0	['assist', 'obvious', 'source', 'despite']
Fill the gaps:  ______ is something that camera lenses and sleepy students are always being asked to do. For cameras, it means finding a point where the subject is clear or "in ______." For students, it means paying attention.	easy	focus	0	['focus', 'maximize', 'minor', 'mental']
Fill the gaps:  ______ means to get something that is not so easy to come by such as knowledge, rights, or a large amount of money. You wouldn't say you ______ed a pair of pants, unless they were one of a kind.	medium	obtain	1	['persevere', 'obtain', 'coherent', 'crude']
Fill the gaps:  If a number of people consider themselves one group based on location, work, religion, nationality, or even activity, they can be called a ______. If you like to play online games, you are active in the gamer ______.	medium	community	3	['potential', 'invest', 'culminate', 'community']
Fill the gaps:  A ______ is a location. The leader of a Zombie Army might remind his underlings: “Your web ______ is just a collection of pages at one address on the Web. Your burial ______ is where you find more soldiers!”	medium	site	0	['site', 'extract', 'deter', 'crude']
Fill the gaps:  Another word for formally discuss is ______. Cheese lovers often ______ the merits of gorgonzola, triple creme brie, and gouda. Of course, they need to accompany their arguments with a taste test!	medium	debate	1	['authority', 'debate', 'enable', 'complement']
Fill the gaps:  A ______ is a part you play. In school, you might take on the ______ of clown, in your family, the ______ of the responsible one, on stage, the ______ of Juliet.	medium	role	2	['secure', 'trigger', 'role', 'internal']
Fill the gaps:  A ______ is a struggle or an opposition. If you and your best friend both fall in love with the same person, you will have to find some way to resolve the ______.	medium	conflict	3	['complement', 'prior', 'internal', 'conflict']
Fill the gaps:  To be ______ means to know about. If you're ______ of a sled zooming towards you, move! And if you’re ______ that the other kids wish they had sleds, share yours. That’s being socially ______. Well done.	medium	aware	0	['aware', 'convey', 'debate', 'consent']
Fill the gaps:  If you have a ______ that you can swim across the ocean, you are probably wrong. A ______ is an idea, often vague and sometimes fanciful.	medium	notion	2	['disparate', 'element', 'notion', 'obscure']
Fill the gaps:  A rough calculation or appraisal is an ______. When you hit another baseball through the kitchen window, your parents will get an ______ of the repair costs. And you should ______ being grounded for approximately 3 weeks.	medium	estimate	1	['downfall', 'estimate', 'deter', 'tint']
Fill the gaps:  An ______ is something basic and important––in chemistry, an ______ is one of the essential molecules that everything else is made of.	medium	element	3	['provided', 'hazard', 'resent', 'element']
Fill the gaps:  ______s are longstanding customs and practices. It might be a family ______ to open Christmas presents on Christmas Eve, started because your parents were too impatient to wait.	medium	tradition	3	['inclination', 'widespread', 'slender', 'tradition']
Fill the gaps:  To ______ means to uncover or allow to be in the open air. If you take off your coat and ______ your bare arms to the terrible cold, your tattoos might freeze off. (Note: We don’t actually know if this is physically possible.)	medium	expose	2	['complementary', 'slender', 'expose', 'momentum']
Fill the gaps:  When you ______ something, you make sense of it. You could ______ a graph, a foreign language, or even Mona Lisa's odd smile.	medium	interpret	2	['preemptive', 'potential', 'interpret', 'consent']
Fill the gaps:  To ______ means to go or continue forward. But somehow "ready, set, ______!" doesn't quite have the same ring to it.	medium	proceed	1	['role', 'proceed', 'endeavor', 'complement']
Fill the gaps:  To ______ something is to provide a part of the whole. When your company has their annual softball game and potluck picnic, you will probably be asked to ______ a dish, like your famous macaroni salad.	medium	contribute	3	['complementary', 'foe', 'extract', 'contribute']
Fill the gaps:  Use the adjective ______ to describe something that is large in amount. Things you probably spend a ______ amount of time on: homework and laundry. Things you'd rather spend time on: anything that isn't homework and laundry!	medium	considerable	1	['migrate', 'considerable', 'role', 'perpetual']
Fill the gaps:  ______ the verb and ______ the noun are very similar in meaning. A ______ is a change in something or an adjustment in the way something is done. You can either make a ______ (that's the noun), or you can just ______ (that's the verb).	medium	shift	0	['shift', 'extinct', 'deter', 'convoluted']
Fill the gaps:  If you're tired of the same old breakfast of bran flakes and orange juice, ______ your routine—put some banana slices on those bran flakes. You can ______ the routine by changing the details but keeping the basics the same.	medium	vary	3	['concentrate', 'obtain', 'aware', 'vary']
Fill the gaps:  The first letter of your name is your ______. The first thing you say to someone is your ______ greeting. ______ is something that occurs first or at the beginning.	medium	initial	0	['initial', 'vast', 'overwhelm', 'consent']
Fill the gaps:  Generally you should eat dinner ______ to brushing your teeth. Use the adjective ______ for things that exist earlier in time or that happen first in time or order.	medium	prior	3	['regulate', 'conflict', 'disperse', 'prior']
Fill the gaps:  A ______ is something that helps you, whether in the form of health insurance provided by an employer, welfare given by the government to those in need, or the ______ of the doubt extended to you by a friend.	medium	benefit	3	['vast', 'notion', 'prior', 'benefit']
Fill the gaps:  If you can describe something as possible but not yet actual, choose the adjective ______. Companies try to reach ______ customers through advertising.	medium	potential	1	['administration', 'potential', 'enable', 'distribute']
Fill the gaps:  The noun ______ describes a thin piece that's stacked on other thin pieces, like a ______ of noodles in a lasagna dish. You can also apply a ______ of paint to make your wall color more vivid.	medium	layer	2	['coherent', 'abrupt', 'layer', 'alternative']
Fill the gaps:  The noun ______ means the study of proper behavior, and the search for wisdom.	medium	philosophy	0	['philosophy', 'invest', 'protocol', 'elegant']
Fill the gaps:  When something ______, it goes downhill. If you stop working out, your health may ______. If you want it to improve, you should start climbing inclines instead of coasting down ______.	medium	decline	0	['decline', 'provided', 'stunning', 'eccentric']
Fill the gaps:  Use the word ______ to describe the group of people running an organization: “University ______ declared Wednesday a snow day and sent everyone home early.”	medium	administration	3	['internal', 'stable', 'obscure', 'administration']
Fill the gaps:  Although the word ______ seems to suggest tough, physical work that makes you sweat, any type of work, whether physical or mental, can be considered ______.	medium	labor	1	['constraint', 'labor', 'devoid', 'abundant']
Fill the gaps:  Before it was the universal word for traveling around the Internet, ______ was just a connection or a device that connects things, like the ______s in a chain.	medium	link	0	['link', 'distribute', 'demolish', 'bulky']
Fill the gaps:  When you ______, you put time or money into something, hoping that there will be returns greater than what was originally put in.	medium	invest	3	['hierarchy', 'provided', 'prior', 'invest']
Fill the gaps:  If two things are basically the same, you can say that they're the ______ of each other.  Like, studying advanced physics is the ______ of banging your head against the wall.	medium	equivalent	1	['complement', 'equivalent', 'abrupt', 'secure']
Fill the gaps:  A ______ is any interconnected system. The Internet is a ______ of computers all talking to one another. A subway is a ______ of interconnected train lines running underneath the city.	medium	network	3	['obtain', 'robust', 'behalf', 'network']
Fill the gaps:  ______ means strictly correct or very exact. If you need something to be ______, like the positioning of a safety net for a stunt jump over a canyon, there's no room for error.	medium	precise	2	['persevere', 'downfall', 'precise', 'absent']
Fill the gaps:  When two things _____, they match up or are equivalent to one another. You might come up with a code in which numbers _____ to letters of the alphabet. _____ can also mean to send messages back and forth. You can _____ with your friend.	medium	correspond	2	['resent', 'conform', 'correspond', 'tint']
Fill the gaps:  When something is ______, it is easily identifiable or set apart from others of its kind.  An eighth-grader who is six feet tall has a ______ advantage over the other kids on the basketball court.	medium	distinct	1	['debate', 'distinct', 'rigid', 'obscure']
Fill the gaps:  The adjective ______ describes something on the inside. If you're tempted by a second piece of cake, you may have an ______ battle with yourself over whether you should eat the cake or not.	medium	internal	0	['internal', 'coincide', 'endeavor', 'controversial']
Fill the gaps:  The place where you live — whether house, hotel, or mobile home — is where you ______. The President of the United States ______ in a little shack called the White House.	medium	reside	2	['gratify', 'estimate', 'reside', 'tint']
Fill the gaps:  When something is ______, it happens once a year. An ______ holiday party should be a time for fun, but it also can be a sad yearly reminder of the passage of time.	medium	annual	0	['annual', 'downfall', 'invest', 'emit']
Fill the gaps:  If someone wants to know the ______ of something, they want to know what condition it's in, where it is, or how much progress it's made. You've probably checked the ______ of your flight to see if it's on time or delayed.	medium	status	3	['complementary', 'aware', 'internal', 'status']
Fill the gaps:  An ______ is somewhere between a belief, a stance, a mood, and a pose. If you've got an ______ about something, it can be hard to change it because you think you're right.	medium	attitude	2	['site', 'impending', 'attitude', 'trigger']
Fill the gaps:  To ______ is to disperse widely, hand out, or spread around. While you're still snoozing, the paper boy is busy distributing the newspaper all over the neighborhood.	medium	distribute	3	['authority', 'deter', 'durable', 'distribute']
Fill the gaps:  If you have the ______ to do something, you have the right or power to do it. You are the big cheese. Or, if you know more about a topic than most, you are an ______ on that topic.	medium	authority	1	['attitude', 'authority', 'estimate', 'specimen']
Fill the gaps:  When something is ______, it's fixed and steady. If you needed advice, you'd probably go to your most ______ friend, the one least likely to act crazy or be easily upset.	medium	stable	3	['demolish', 'annual', 'persist', 'stable']
Fill the gaps:  When you make something possible, you ______ it. Your good grades might ______ you to get into your first-choice college. And a great teacher ______d you to get such good grades.	medium	enable	3	['extinct', 'inclination', 'obscure', 'enable']
Fill the gaps:  ______ means safe, protected. Your money is ______ in a bank. Supportive friends and family make you feel ______.	medium	secure	1	['expose', 'secure', 'shimmer', 'accumulate']
Fill the gaps:  ______ means to make something stronger, denser, or more focused. If you ______ your energy, for example, you become more powerful! ______ your efforts at digging, and you'll plant that shrub a lot faster.	medium	concentrate	0	['concentrate', 'aware', 'provoke', 'consent']
Fill the gaps:  ______ means to support something or keep it going. If you get hungry in the mid-afternoon, you might try snacking to ______ your energy through dinner.	medium	sustain	1	['impede', 'sustain', 'resent', 'defiant']
Fill the gaps:  The on-off spigot ______s the flow of water into your bathtub. When a government ______s an industry, they set standards the industry must follow. To ______ means to impose control.	medium	regulate	3	['rigid', 'foe', 'shimmer', 'regulate']
Fill the gaps:  An ______ is a quality or characteristic given to a person, group, or some other thing. Your best ______ might be your willingness to help others, like when you stopped traffic so the duck family could cross the street.	medium	attribute	1	['distort', 'attribute', 'perpetual', 'warp']
Fill the gaps:  The word ______ refers to a variety of things or to an area in which something operates. The store offers the living room set in a ______ of colors. What's the ______ of that remote-controlled airplane?	medium	range	2	['extinct', 'precise', 'range', 'internal']
