question	category	explanation	synonym	correct_option	options
Choose the synonym of the following words:  signify, display	easy	to be a sign of, to show	indicate	3	['brief', 'involve', 'occur', 'indicate']
Choose the synonym of the following words:  hypothesis, belief	easy	an idea or belief about how something works	theory	2	['reject', 'minor', 'theory', 'data']
Choose the synonym of the following words:  short, compressed	easy	short (about time, not length)	brief	1	['indicate', 'brief', 'participate', 'significant']
Choose the synonym of the following words:  flow, current	easy	the direction or way in which something is changing	trend	0	['trend', 'previous', 'construct', 'focus']
Choose the synonym of the following words:  case, situation	easy	an example, a case	instances	0	['instances', 'circumstance', 'primary', 'involve']
Choose the synonym of the following words:  prep.in spite of, regardless of	easy	even with (when an event is surprising because of some difficulty)	despite	0	['despite', 'acquire', 'minor', 'mental']
Choose the synonym of the following words:  theory	easy	an idea which explains something but is unproven	hypothesis	0	['hypothesis', 'evident', 'context', 'project']
Choose the synonym of the following words:  lesson, speech	easy	a long speech about one topic that teaches, to give a long speech about a topic trying to teach	lecture	3	['register', 'emphasize', 'transfer', 'lecture']
Choose the synonym of the following words:  evaluate, determine	easy	to look closely at and figure out the value or type of something	assess	3	['method', 'consequence', 'consume', 'assess']
Choose the synonym of the following words:  emphasis	easy	to place extra importance on one part, extra importance placed on one part, pressure/strain/tension	stress	0	['stress', 'relevant', 'substitute', 'mental']
Choose the synonym of the following words:  confine, limit situation or ability to participate	easy	to limit, to make some actions impossible	restrict	0	['restrict', 'label', 'adjust', 'involve']
Choose the synonym of the following words:  recognize, label	easy	to name, to show or figure out what something is	identify	2	['demonstrate', 'imply', 'identify', 'comment']
Choose the synonym of the following words:  display, show	easy	to show an example of , to prove with evidence	demonstrate	2	['assist', 'available', 'demonstrate', 'hence']
Choose the synonym of the following words:  believe, take for granted	easy	to believe without proof	assume	1	['modify', 'assume', 'occur', 'furthermore']
Choose the synonym of the following words:  examine, inspect, evaluate	easy	to try to understand something better by closely looking at its details	analyze	0	['analyze', 'context', 'occur', 'instances']
Choose the synonym of the following words:  precise	easy	correct (about information, not opinions), on target	accurate	2	['affect', 'imply', 'accurate', 'method']
Choose the synonym of the following words:  fixed	easy	not changing and not stopping, continuous	constant	2	['section', 'analyze', 'constant', 'region']
Choose the synonym of the following words:  concern, matter, problem	easy	a topic or situation to talk about, a problem	issue	3	['whereas', 'research', 'maintain', 'issue']
Choose the synonym of the following words:  signify, display	easy	to be a sign of , to show	indicate	2	['reject', 'assume', 'indicate', 'evaluate']
Choose the synonym of the following words:  alter, change	easy	to make small changes or add to	modify	1	['assess', 'modify', 'involve', 'primary']
Choose the synonym of the following words:  however	easy	however, regardless	nevertheless	2	['involve', 'strategy', 'nevertheless', 'predict']
Choose the synonym of the following words:  complete, general	easy	looking at or including all pieces or factors, in general, for the most part	overall	0	['overall', 'require', 'theory', 'investigate']
Choose the synonym of the following words:  anticipate, forecast, foresee	easy	to say something will happen in the future	predict	1	['assume', 'predict', 'affect', 'challenge']
Choose the synonym of the following words:  telling, meaningful	easy	important or big enough that you should notice or pay attention	significant	3	['specify', 'emphasize', 'adjust', 'significant']
Choose the synonym of the following words:  capacity, job	easy	to work, to do what something should do, what something does , it's purpose	function	2	['obvious', 'specify', 'function', 'approach']
Choose the synonym of the following words:  moreover, besides	easy	also, in addition	furthermore	0	['furthermore', 'maximize', 'transfer', 'contact']
Choose the synonym of the following words:  undertaking, work	easy	a plan to reach a specific goal, to predict the measurement of something, to throw (light, images)	project	2	['culture', 'resolve', 'project', 'specify']
Choose the synonym of the following words:  enough, able	easy	good enough for what is needed	adequate	0	['adequate', 'concept', 'brief', 'obvious']
Choose the synonym of the following words:  characteristic	easy	an important characteristic, a property  to include as an important piece	feature	0	['feature', 'contrast', 'reject', 'lecture']
Choose the synonym of the following words:  excellent, elite, preferable	easy	to choose, chosen as the best from a group	select	1	['previous', 'select', 'feature', 'emphasize']
Choose the synonym of the following words:  set up, organize	easy	to build, to create (a system, organization, or idea)	establish	0	['establish', 'method', 'select', 'react']
Choose the synonym of the following words:  become or make prepared, adapted	easy	to change or move a little and make better or more accurate	adjust	1	['research', 'adjust', 'method', 'furthermore']
Choose the synonym of the following words:  draw in, include	easy	to include, to have as a part	involve	0	['involve', 'physical', 'complex', 'minor']
Choose the synonym of the following words:  administration	easy	to organize and manage (an event that takes careful planning and control)	conduct	3	['challenge', 'remove', 'indicate', 'conduct']
Choose the synonym of the following words:  connect, call, touch	easy	the state of touching, having normal communication, communicating to give or get information	contact	1	['access', 'contact', 'reject', 'culture']
Choose the synonym of the following words:  answer, react, reply	easy	to answer, to react	respond	3	['register', 'mental', 'stress', 'respond']
Choose the synonym of the following words:  influence, affect emotionally	easy	to change, to make different, to have an effect	affect	1	['instances', 'affect', 'trend', 'assist']
Choose the synonym of the following words:  extend, augment	easy	to make larger, to give more detail on a subject	expand	0	['expand', 'predict', 'period', 'contrast']
Choose the synonym of the following words:  designate, decide definitely	easy	to say which one or clearly point to which one	specify	2	['minor', 'access', 'specify', 'acquire']
Choose the synonym of the following words:  deny, dismiss, refuse	easy	to say no to something offered , to refuse or decline	reject	0	['reject', 'previous', 'conduct', 'concept']
Choose the synonym of the following words:  indicate, mean	easy	to communicate without saying specifically, to lead to (a conclusion)	imply	3	['concept', 'require', 'register', 'imply']
Choose the synonym of the following words:  beginning, point of supply	easy	where something comes from	source	2	['reject', 'achieve', 'source', 'construct']
Choose the synonym of the following words:  plan, approach, procedure	easy	a plan of action to reach a desired goal	strategy	3	['instances', 'maximize', 'theory', 'strategy']
Choose the synonym of the following words:  former, prior	easy	happening before the one happening now (of a thing, or date)	previous	3	['register', 'require', 'transfer', 'previous']
Choose the synonym of the following words:  admission, means of entry, approach	easy	the ability to go into, to reach (when able to or allowed to enter)	access	0	['access', 'resolve', 'significant', 'label']
Choose the synonym of the following words:  division, portion	easy	one of a number of pieces which come together to create a whole	section	1	['contrast', 'section', 'primary', 'approach']
Choose the synonym of the following words:  time, era, phase	easy	a range or amount of time	period	0	['period', 'acquire', 'access', 'method']
Choose the synonym of the following words:  take place, happen	easy	to happen	occur	3	['project', 'hypothesis', 'significant', 'occur']
Choose the synonym of the following words:  marker, description, brand	easy	a name or phrase given to a group of things to identify them (often negative)	label	0	['label', 'register', 'lecture', 'culture']
Choose the synonym of the following words:  capture, engage, inhabit	easy	to be in or on a space, to fill a space	occupy	3	['evident', 'adequate', 'obvious', 'occupy']
Choose the synonym of the following words:  join, assist, engage	easy	to join or take part (in a activity)	participate	0	['participate', 'accurate', 'transfer', 'occupy']
Choose the synonym of the following words:  area, domain, scope	easy	an area of land	region	3	['occur', 'indicate', 'mental', 'region']
Choose the synonym of the following words:  decision, determination	easy	to agree, to decide, to solve a problem or argument	resolve	2	['hence', 'strategy', 'resolve', 'evaluate']
Choose the synonym of the following words:  lift or move object, take off, away	easy	to take away or take out	remove	2	['previous', 'expand', 'remove', 'assist']
Choose the synonym of the following words:  depend, entrust, commit	easy	to depend on, to need in order to continue well	rely	0	['rely', 'circumstance', 'hence', 'assume']
Choose the synonym of the following words:  tangible, material	easy	of the body (not the mind), concrete (something real that you can touch or feel)	physical	3	['research', 'sufficient', 'trend', 'physical']
Choose the synonym of the following words:  supply drawn upon, either material or nonmaterial	easy	some saved material that can be used for a purpose (especially money, oil, or books)	resource	2	['expand', 'demonstrate', 'resource', 'illustrate']
Choose the synonym of the following words:  assemble, build	easy	to build	construct	1	['method', 'construct', 'individual', 'lecture']
Choose the synonym of the following words:  statement of opinion, explanation	easy	an observation or response, to say a short response or opinion about a given topic	comment	1	['hypothesis', 'comment', 'context', 'predict']
Choose the synonym of the following words:  appropriate, to the purpose	easy	closely connected to the topic and therefore important	relevant	2	['strategy', 'data', 'relevant', 'resource']
Choose the synonym of the following words:  move, convey, change	easy	to pass from one person or thing to another	transfer	2	['predict', 'comment', 'transfer', 'evaluate']
Choose the synonym of the following words:  breeding, education, sophistication	easy	the way a group of people living in one area normally acts, talk to and act with each other	culture	2	['previous', 'access', 'culture', 'sufficient']
Choose the synonym of the following words:  bigger	easy	very important, or large in size	major	1	['access', 'major', 'emphasize', 'investigate']
Choose the synonym of the following words:  insignificant, small	easy	not very important, small in size	minor	2	['focus', 'source', 'minor', 'remove']
Choose the synonym of the following words:  distinctive, exclusive	easy	single or separated, only one of	individual	0	['individual', 'project', 'illustrate', 'complex']
Choose the synonym of the following words:  care for, keep up	easy	to continue, to keep alive, to keep in good state or condition	maintain	3	['occur', 'trend', 'culture', 'maintain']
Choose the synonym of the following words:  boost, enlarge, magnify	easy	to make as big as possible, to use or do as completely as possible	maximize	0	['maximize', 'establish', 'complex', 'react']
Choose the synonym of the following words:  examination, study	easy	to find or search for more information about something, information collected about something	research	0	['research', 'react', 'indicate', 'investigate']
Choose the synonym of the following words:  judge	easy	to form an idea of the amount, number, or value of something	evaluate	0	['evaluate', 'occur', 'minor', 'imply']
Choose the synonym of the following words:  basic	easy	first in importance	primary	0	['primary', 'substitute', 'achieve', 'focus']
Choose the synonym of the following words:  situation, condition	easy	the situation, facts or environment around an event	circumstance	0	['circumstance', 'source', 'feature', 'respond']
Choose the synonym of the following words:  bring to successful conclusion, reach a goal	easy	to finally do something you have been trying hard to do	achieve	3	['consume', 'individual', 'substitute', 'achieve']
Choose the synonym of the following words:  dispute, question	easy	something difficult, to suggest a fight or argument, to disagree or try to fight somebody	challenge	2	['region', 'mental', 'challenge', 'maximize']
Choose the synonym of the following words:  result, outcome of action	easy	result, effect, what happens because of an event	consequence	0	['consequence', 'concept', 'focus', 'identify']
Choose the synonym of the following words:  intellectual, psychological, cerebral	easy	of the mind	mental	1	['data', 'mental', 'analyze', 'context']
Choose the synonym of the following words:  apparent, understandable	easy	easily understood or seen	obvious	3	['culture', 'section', 'evaluate', 'obvious']
Choose the synonym of the following words:  accessible, free, handy	easy	able to be reached, used, or bought	available	0	['available', 'significant', 'region', 'context']
Choose the synonym of the following words:  obtain, receive, achieve	easy	to get (specially when you will continue to get more)	acquire	2	['strategy', 'respond', 'acquire', 'source']
Choose the synonym of the following words:  involved, intricate	easy	complicated, having many different parts and difficult to understand	complex	0	['complex', 'hypothesis', 'physical', 'focus']
Choose the synonym of the following words:  respond, conduct oneself	easy	to respond, to act in answer to	react	3	['analyze', 'label', 'significant', 'react']
Choose the synonym of the following words:  apparent, clear	easy	clearly seen or understood, obvious	evident	0	['evident', 'overall', 'rely', 'demonstrate']
Choose the synonym of the following words:  help	easy	to help or aid	assist	3	['maintain', 'require', 'hypothesis', 'assist']
Choose the synonym of the following word: center, spotlight, target	easy	to look at, to think about, to give attention to, the center of attention, the most important part	focus	3	['contrast', 'involve', 'rely', 'focus']
Choose the synonym of the following words:  get, acquire	medium	to get or secure something	obtain	1	['vast', 'obtain', 'behalf', 'role']
Choose the synonym of the following words:  society, area of people	medium	a group of people living or working together	community	1	['integral', 'community', 'stunning', 'deter']
Choose the synonym of the following word: ground, home, location	medium	the location of something	site	3	['persistent', 'endeavor', 'integral', 'site']
Choose the synonym of the following words:  discussion of issues, consideration	medium	to argue, usually in a formal, polite way. a formal, polite argument	debate	3	['considerable', 'proceed', 'annual', 'debate']
Choose the synonym of the following word: act, appearance, aspect	medium	a job or function, a position	role	0	['role', 'warp', 'expose', 'sustain']
Choose the synonym of the following words:  fight, warfare	medium	to disagree with each other, an argument, long battle, or difference of opinions	conflict	0	['conflict', 'interpret', 'internal', 'protocol']
Choose the synonym of the following words:  knowledgeable	medium	to have knowledge of	aware	3	['impending', 'conflict', 'drawback', 'aware']
Choose the synonym of the following words:  belief, idea	medium	a belief, an idea	notion	2	['concentrate', 'attribute', 'notion', 'internal']
Choose the synonym of the following words:  approximate calculation, educated guess	medium	to roughly determine the value or number of something, to guess a number using some informration	estimate	3	['indifference', 'conform', 'disperse', 'estimate']
Choose the synonym of the following word: aspect, bit, component	medium	a part of something (usually part of an idea)	element	1	['roam', 'element', 'mend', 'network']
Choose the synonym of the following word: attitude, belief, culture	medium	a set of beliefs or a culture that is passed from family to family over a long period of time	tradition	1	['distort', 'tradition', 'rigid', 'disparate']
Choose the synonym of the following words:  reveal	medium	to show or reveal something that was hidden	expose	0	['expose', 'mend', 'prior', 'via']
Choose the synonym of the following words:  make sense of, define	medium	to figure out or explain the meaning of something	interpret	0	['interpret', 'inclination', 'ambiguous', 'obscure']
Choose the synonym of the following words:  physically or mentally carry on, carry out	medium	to begin or continue with some action	proceed	1	['scrap', 'proceed', 'durable', 'status']
Choose the synonym of the following words:  donate, provide	medium	to give something, to help reach a goal. to add to the cause of something bigger	contribute	1	['persist', 'contribute', 'benefit', 'complementary']
Choose the synonym of the following words:  abundant, large	medium	large enough or important enough to get special notice	considerable	2	['potential', 'dusk', 'considerable', 'hierarchy']
Choose the synonym of the following words:  switch, fluctuation	medium	to move something a short distance, a small change in position or direction	shift	1	['conflict', 'shift', 'equivalent', 'linger']
Choose the synonym of the following words:  change	medium	to be a different size, amount, or character when compared to something else in a similar group	vary	0	['vary', 'ambiguous', 'slender', 'overlap']
Choose the synonym of the following words:  beginning, primary	medium	at the beginning	initial	1	['protocol', 'initial', 'element', 'role']
Choose the synonym of the following words:  earlier	medium	happening or being before	prior	1	['ambiguous', 'prior', 'consent', 'emit']
Choose the synonym of the following words:  advantage, profit	medium	something good coming from an action, agreement, idea, or plan	benefit	3	['abrupt', 'foster', 'prestigious', 'benefit']
Choose the synonym of the following words:  promising	medium	possible ability that might be used in the future, having the ability to do something in the future	potential	3	['dusk', 'protocol', 'estimate', 'potential']
Choose the synonym of the following words:  coating, tier	medium	one of several things that covers somethings else, to cover something with several coverings	layer	2	['durable', 'persevere', 'layer', 'widespread']
Choose the synonym of the following words:  principles, knowledge	medium	the study of knowledge, a basic idea of a person or organization that affects their actions	philosophy	1	['overcome', 'philosophy', 'regulate', 'compel']
Choose the synonym of the following words:  lessening	medium	to politely say no to an invitation or offer, to become less, a slow continuous loss of value	decline	1	['extravagant', 'decline', 'philosophy', 'scarce']
Choose the synonym of the following word: agency, authority, control	medium	the running of something or an organization, the people in charge of running an organization	administration	3	['absent', 'annual', 'impose', 'administration']
Choose the synonym of the following words:  work, undertaking	medium	work, effort	labor	0	['labor', 'secure', 'tentative', 'protocol']
Choose the synonym of the following words:  component, connection	medium	to create a connection between two or more things, a connection between two things	link	1	['stable', 'link', 'bulky', 'concentrate']
Choose the synonym of the following word: devote, lend, provide	medium	to spend money, energy or time on something hoping for good results later	invest	1	['extravagant', 'invest', 'distribute', 'community']
Choose the synonym of the following words:  same, similar	medium	equal	equivalent	3	['impede', 'extract', 'ornamental', 'equivalent']
Choose the synonym of the following word: chain, web, grid	medium	a system of connected pieces (especially for transportation or communication)	network	3	['regulate', 'status', 'widespread', 'network']
Choose the synonym of the following words:  exact, accurate	medium	exact, carefully defined	precise	2	['conducive', 'impending', 'precise', 'interpret']
Choose the synonym of the following words:  agree, complement	medium	to be a close match, to send letters back and forth  	correspond	3	['persistent', 'attitude', 'prior', 'correspond']
Choose the synonym of the following words:  apparent, obvious	medium	clearly different from another thing	distinct	3	['resent', 'site', 'preemptive', 'distinct']
Choose the synonym of the following words:  within	medium	found or happening inside (a body, organization, or thing)	internal	2	['overlap', 'aware', 'internal', 'robust']
Choose the synonym of the following word: consist, dwell, endure	medium	to live in a place	reside	2	['proceed', 'estimate', 'reside', 'advocate']
Choose the synonym of the following words:  occurring, done yearly	medium	yearly, happening every year	annual	0	['annual', 'conform', 'compel', 'indifference']
Choose the synonym of the following words:  rank	medium	the rank or social class of someone or something, the current situation that something is in	status	3	['reside', 'behalf', 'vary', 'status']
Choose the synonym of the following word: approach, belief, bias	medium	a set way of thinking or a set feeling about something or someone	attitude	3	['secure', 'sustain', 'era', 'attitude']
Choose the synonym of the following words:  allocate, deliver, spread	medium	to give out something	distribute	1	['estimate', 'distribute', 'debate', 'potential']
Choose the synonym of the following words:  power, control	medium	control or responsibility (over people, area, or laws)	authority	1	['provoke', 'authority', 'concede', 'vast']
Choose the synonym of the following words:  constant, fixed, resistant	medium	not likely to change, fall, or move. secure (in employment, finances, housing)	stable	3	['distort', 'prestigious', 'element', 'stable']
Choose the synonym of the following words:  allow, authorize	medium	to make something possible	enable	1	['rigid', 'enable', 'gratify', 'dusk']
Choose the synonym of the following words:  safe	medium	to attach something so that it won't come off, to get something important, to be safe	secure	2	['sketch', 'eccentric', 'secure', 'durable']
Choose the synonym of the following word: apply, focus, fixate	medium	to focus attention on something, to come together into a smaller space, to gather	concentrate	3	['aware', 'devoid', 'prior', 'concentrate']
Choose the synonym of the following words:  keep up, maintain	medium	to help something continue, to keep going	sustain	1	['abundant', 'sustain', 'era', 'attitude']
Choose the synonym of the following words:  manage, organize	medium	to have control over a process so that it functions properly	regulate	3	['mend', 'enable', 'impose', 'regulate']
Choose the synonym of the following words:  feature	medium	to give an event or person credit for something, an important part of something	attribute	2	['reside', 'overlap', 'attribute', 'integral']
Choose the synonym of the following words:  sphere, distance, extent	medium	the distance between two things, to be between a set minimum and maximum	range	1	['controversial', 'range', 'demolish', 'abrupt']
Choose the synonym of the following words:  other, alternate	medium	other possibility or option, different, other than the main option	alternative	0	['alternative', 'ornamental', 'persistent', 'reconcile']
Choose the synonym of the following word: age, cycle, period	medium	the time period of an important historical situation	era	2	['slender', 'specimen', 'era', 'overcome']
Choose the synonym of the following words:  stiff, strict, severe	medium	not easy or impossible to bend	rigid	2	['provoke', 'disperse', 'rigid', 'foe']
Choose the synonym of the following word: supporter, promoter, defender	medium	a person who actively supports an idea	advocate	0	['advocate', 'administration', 'warp', 'controversy']
Choose the synonym of the following words:  move, remove from normal place	medium	to force to remove to another place	displace	0	['displace', 'demolish', 'secure', 'accumulate']
Choose the synonym of the following words:  broken, not working	medium	not made correctly and not working	defective	1	['tradition', 'defective', 'linger', 'ornamental']
Choose the synonym of the following words:  carry on, carry through	medium	to continue to exist although something/someone tries to stop it	persist	2	['specimen', 'aware', 'persist', 'concentrate']
Choose the synonym of the following word: glow, hue, tinge	medium	a small amount of colour	tint	1	['prestigious', 'tint', 'controversial', 'resent']
Choose the synonym of the following words:  companion, counterpart	medium	to improve or make complete by pairing well	complement	0	['complement', 'impending', 'era', 'contribute']
Choose the synonym of the following word: chunk, fragment, grain	medium	a small piece (usually left after most is gone)	scrap	2	['emit', 'durable', 'scrap', 'expose']
Choose the synonym of the following words:  beautiful, tasteful	medium	beautiful, graceful	elegant	1	['alternative', 'elegant', 'preemptive', 'concede']
Choose the synonym of the following words:  transport	medium	to communicate information	convey	2	['reconcile', 'migrate', 'convey', 'attitude']
Choose the synonym of the following words:  example, sample	medium	a small amount or individual used for studying the whole thing or group	specimen	0	['specimen', 'stable', 'defective', 'controversial']
Choose the synonym of the following word: accrue, acquire, collect	medium	to come together into a large number or amount over time	accumulate	1	['rigid', 'accumulate', 'extravagant', 'disparate']
Choose the synonym of the following words:  insufficient, infrequent	medium	very little, not enough	scarce	0	['scarce', 'estimate', 'persevere', 'extract']
Choose the synonym of the following word: aggravate, instigate, enrage	medium	to cause to happen (usually a bad reaction)	provoke	0	['provoke', 'revolutionary', 'protocol', 'indifference']
Choose the synonym of the following words:  flood, beat physically	medium	to become too much to handle	overwhelm	1	['warp', 'overwhelm', 'sustain', 'scrap']
Choose the synonym of the following words:  complicated	medium	complicated and difficult to understand	convoluted	3	['notion', 'defective', 'impending', 'convoluted']
Choose the synonym of the following words:  conditional, experimental	medium	planned but not definite	tentative	3	['conducive', 'considerable', 'shift', 'tentative']
Choose the synonym of the following word: away, missing, removed	medium	not where it is expected, missing	absent	3	['decline', 'widespread', 'conform', 'absent']
Choose the synonym of the following words:  debate, dispute	medium	a strong disagreement among many people	controversy	3	['status', 'impending', 'debate', 'controversy']
Choose the synonym of the following word: cap, climax, conclude	medium	to reach the highest or most developed point	culminate	0	['culminate', 'demolish', 'provided', 'undertake']
Choose the synonym of the following words:  decorative	medium	as a decoration	ornamental	3	['invest', 'eccentric', 'persistent', 'ornamental']
Choose the synonym of the following words:  diffuse, discharge	medium	to sent out into the air (used for light, sound,smell etc.)	emit	2	['enable', 'behalf', 'emit', 'bulky']
Choose the synonym of the following words:  famous, influential	medium	very well known and respected as high quality	prestigious	1	['community', 'prestigious', 'initial', 'obtain']
Choose the synonym of the following words:  acknowledge, give in	medium	an acknowledge defeat	concede	3	['scrap', 'enable', 'controversial', 'concede']
Choose the synonym of the following words:  danger	medium	a danger	hazard	3	['defective', 'administration', 'extract', 'hazard']
Choose the synonym of the following words:  impetus, push	medium	the force from moving	momentum	0	['momentum', 'philosophy', 'linger', 'sketch']
Choose the synonym of the following words:  check, inhibit from action	medium	to try to prevent, show opposition to	deter	0	['deter', 'controversy', 'roam', 'endeavor']
Choose the synonym of the following words:  promote, support	medium	to help to growth of something	foster	3	['roam', 'shimmer', 'defective', 'foster']
Choose the synonym of the following words:  overwhelmed, visibly moved	medium	win a victory over	overcome	0	['overcome', 'reside', 'role', 'durable']
Choose the synonym of the following words:  force	medium	something that limits or restricts	constraint	0	['constraint', 'via', 'era', 'decline']
Choose the synonym of the following words:  agreement, concession	medium	to give permission	consent	3	['potential', 'robust', 'convoluted', 'consent']
Choose the synonym of the following word: constrain, enforce, exact	medium	make someone do something	compel	1	['annual', 'compel', 'distort', 'overcome']
Choose the synonym of the following words:  disgrace, ruin	medium	a sudden loss of power or success	downfall	1	['impending', 'downfall', 'rigid', 'foster']
Choose the synonym of the following words:  make peace, adjust	medium	to make two things be logical together	reconcile	1	['mend', 'reconcile', 'inclination', 'persevere']
Choose the synonym of the following words:  give pleasure, satisfy	medium	to make happy or satisfied	gratify	3	['slender', 'community', 'disperse', 'gratify']
Choose the synonym of the following words:  order	medium	a system made of levels of power	hierarchy	1	['drawback', 'hierarchy', 'complementary', 'scarce']
Choose the synonym of the following words:  understandable	medium	logical and understandable	coherent	0	['coherent', 'endure', 'readily', 'alternative']
Choose the synonym of the following words:  quickly, effortlessly	medium	without much difficulty or delay	readily	0	['readily', 'internal', 'distinct', 'conflict']
Choose the synonym of the following words:  attempt, engage in	medium	promise to do or start to do a large and difficult project	undertake	3	['emit', 'trigger', 'slender', 'undertake']
Choose the synonym of the following word: cryptic, dubious, enigmatic	medium	having more than one possible meaning	ambiguous	2	['mend', 'constraint', 'ambiguous', 'correspond']
Choose the synonym of the following words:  set, dictate	medium	to officially order a new rule, tax or punishment	impose	0	['impose', 'controversy', 'aware', 'prestigious']
Choose the synonym of the following word: aim, effort, attempt	medium	to try very hard to accomplish	endeavor	3	['hazard', 'distort', 'conducive', 'endeavor']
Choose the synonym of the following words:  disadvantage	medium	a disadvantage, a negative part	drawback	1	['defective', 'drawback', 'overwhelm', 'tentative']
Choose the synonym of the following word: favor, side, account	medium	as a representative of somebody	behalf	2	['philosophy', 'widespread', 'behalf', 'absent']
Choose the synonym of the following words:  continual, lasting	medium	continuing forever without pause	perpetual	0	['perpetual', 'attribute', 'via', 'integral']
Choose the synonym of the following words:  move, travel to another place	medium	to leave one are to live in another	migrate	2	['persevere', 'advocate', 'migrate', 'abundant']
Choose the synonym of the following word: along, over, by	medium	by going through or using	via	2	['distinct', 'sketch', 'via', 'demolish']
Choose the synonym of the following words:  loiter, delay	medium	to stay for longer than expected	linger	0	['linger', 'initial', 'coherent', 'specimen']
Choose the synonym of the following words:  thin	medium	thin and attractive	slender	1	['crude', 'slender', 'culminate', 'hierarchy']
Choose the synonym of the following words:  necessary, basic	medium	very important, necessary	integral	3	['extinct', 'layer', 'internal', 'integral']
Choose the synonym of the following word: excerpt, derive, quotation	medium	to take out by force	extract	3	['inclination', 'controversy', 'conflict', 'extract']
Choose the synonym of the following word: drift, meander, prowl	medium	to move around a large area with little direction or plan	roam	0	['roam', 'devoid', 'robust', 'layer']
Choose the synonym of the following words:  drawing, outline	medium	to create a basic picture or plan quickly	sketch	2	['culminate', 'stable', 'sketch', 'tradition']
Choose the synonym of the following words:  rebellious	medium	very new and creating a big change	revolutionary	2	['alternative', 'considerable', 'revolutionary', 'coincide']
Choose the synonym of the following words:  at odds, different	medium	separate and very different	disparate	3	['via', 'specimen', 'authority', 'disparate']
Choose the synonym of the following word: initiate, cause, generate, start	medium	to cause to happen	trigger	3	['complementary', 'layer', 'obscure', 'trigger']
Choose the synonym of the following words:  forthcoming	medium	happening very soon	impending	3	['network', 'overwhelm', 'bulky', 'impending']
Choose the synonym of the following words:  gentle, mannerly	medium	polite and respectful	courteous	3	['dusk', 'impede', 'tentative', 'courteous']
Choose the synonym of the following words:  extensive	medium	existing across a large area or number of people	widespread	2	['durable', 'philosophy', 'widespread', 'overwhelm']
Choose the synonym of the following words:  go along with, coexist	medium	to happen at the same time	coincide	3	['concentrate', 'regulate', 'enable', 'coincide']
Choose the synonym of the following word: adversary, antagonist, enemy	medium	an enemy	foe	2	['coherent', 'distinct', 'foe', 'ambiguous']
Choose the synonym of the following word: contentious, disputed, dubious	medium	causing a lot of disagreement	controversial	1	['deter', 'controversial', 'absent', 'extinct']
Choose the synonym of the following words:  empty, wanting	medium	not having any of	devoid	1	['community', 'devoid', 'slender', 'abundant']
Choose the synonym of the following words:  preventive	medium	done before someone else can do it	preemptive	0	['preemptive', 'downfall', 'overlap', 'interpret']
Choose the synonym of the following word: tolerate, suffer, persist	medium	to continue to exist, to live through bad experiences	endure	0	['endure', 'specimen', 'robust', 'rigid']
Choose the synonym of the following word: ambiguous, arcane, complicated	medium	to make unclear, known by only a few	obscure	1	['conflict', 'obscure', 'preemptive', 'obtain']
Choose the synonym of the following word: helpful, useful, accessory	medium	helping to make happen	conducive	2	['displace', 'convoluted', 'conducive', 'resent']
